AppID,Nombre,Horas Totales,Horas Últimas 2 Semanas,Última Vez Jugado,Logros Totales,Logros Desbloqueados
220200,Kerbal Space Program,0.0,0.0,1969-12-31 19:00:00,0,0
224300,Legacy of Kain: Defiance,0.0,0.0,1969-12-31 19:00:00,0,0
224940,Legacy of Kain: Soul Reaver 2 (2001),0.0,0.0,1969-12-31 19:00:00,0,0
113020,Monaco,0.0,0.0,1969-12-31 19:00:00,13,0
220440,DmC Devil May Cry,11.12,0.0,2020-10-18 18:39:35,58,21
221040,Resident Evil 6,26.62,0.0,2023-01-15 21:11:25,70,33
211260,They Bleed Pixels,0.0,0.0,1969-12-31 19:00:00,150,0
203160,Tomb Raider,26.88,0.0,2024-08-24 08:57:28,50,17
222480,Resident Evil Revelations,10.52,0.0,2024-03-16 17:01:20,50,12
230820,The Night of the Rabbit,0.0,0.0,1969-12-31 19:00:00,17,0
22340,Call of Cthulhu: Dark Corners of the Earth,0.0,0.0,1969-12-31 19:00:00,0,0
10680,Aliens vs. Predator,0.37,0.0,2024-05-03 22:38:03,50,0
218620,PAYDAY 2,0.0,0.0,1969-12-31 19:00:00,1328,0
225080,Brothers - A Tale of Two Sons,0.0,0.0,1969-12-31 19:00:00,12,0
234080,Castlevania: Lords of Shadow - Ultimate Edition,0.0,0.0,1969-12-31 19:00:00,47,0
209000,Batman™: Arkham Origins,26.18,0.0,2021-09-28 18:45:52,60,8
242960,Blood Omen 2: Legacy of Kain,0.0,0.0,1969-12-31 19:00:00,0,0
234670,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst,15.53,0.0,2021-11-04 11:54:47,54,27
242050,Assassin's Creed IV Black Flag,27.72,0.0,2022-06-05 16:46:15,60,0
266310,GameGuru Classic,0.0,0.0,1969-12-31 19:00:00,0,0
211820,Starbound,0.0,0.0,1969-12-31 19:00:00,51,0
367540,Starbound - Unstable,0.0,0.0,1969-12-31 19:00:00,51,0
216090,Go Home Dinosaurs!,0.0,0.0,1969-12-31 19:00:00,26,0
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,0.78,0.0,2024-05-24 17:52:46,0,0
20510,S.T.A.L.K.E.R.: Clear Sky,0.0,0.0,1969-12-31 19:00:00,0,0
41700,S.T.A.L.K.E.R.: Call of Pripyat,0.0,0.0,1969-12-31 19:00:00,0,0
235460,METAL GEAR RISING: REVENGEANCE,12.37,0.0,2023-09-22 14:36:50,60,17
232790,Broken Age,0.0,0.0,1969-12-31 19:00:00,45,0
57300,Amnesia: The Dark Descent,0.0,0.0,1969-12-31 19:00:00,18,0
239200,Amnesia: A Machine for Pigs,0.0,0.0,1969-12-31 19:00:00,7,0
281610,Homeworld: Deserts of Kharak,0.0,0.0,1969-12-31 19:00:00,48,0
282070,This War of Mine,0.0,0.0,1969-12-31 19:00:00,59,0
282140,SOMA,2.58,0.0,2020-04-05 10:32:11,10,1
254700,Resident Evil 4 (2005),0.0,0.0,1969-12-31 19:00:00,12,0
286000,Tooth and Tail,0.0,0.0,1969-12-31 19:00:00,38,0
286690,Metro 2033 Redux,16.5,0.0,2022-01-05 20:08:58,49,13
287390,Metro: Last Light Redux,11.42,0.0,2020-09-18 23:23:59,49,16
258180,Deus Ex: The Fall,0.0,0.0,1969-12-31 19:00:00,28,0
288470,Fable Anniversary,0.63,0.0,2024-05-04 20:34:14,50,1
243930,Bound By Flame,0.15,0.0,2024-03-06 19:24:43,41,0
